month,mother_age,child_gender,mother_race,birth_count
2020-11,20  -  24,M,INDIANS,15
2020-11,20  -  24,F,MALAYS,29
2020-11,20  -  24,M,MALAYS,35
2020-11,20  -  24,F,OTHERS,11
2020-11,20  -  24,M,OTHERS,12
2020-11,25  -  29,F,CHINESE,148
2020-11,25  -  29,M,CHINESE,190
2020-11,25  -  29,F,INDIANS,45
2020-11,25  -  29,M,INDIANS,51
2020-11,25  -  29,F,MALAYS,130
2020-11,25  -  29,M,MALAYS,123
2020-11,25  -  29,F,OTHERS,27
2020-11,25  -  29,M,OTHERS,37
2020-11,30  -  34,F,CHINESE,393
2020-11,30  -  34,M,CHINESE,428
2020-11,30  -  34,F,INDIANS,66
2020-11,30  -  34,M,INDIANS,80
2020-11,30  -  34,F,MALAYS,100
2020-11,30  -  34,M,MALAYS,119
2020-11,30  -  34,F,OTHERS,82
2020-11,30  -  34,M,OTHERS,96
2020-11,35  -  39,F,CHINESE,246
2020-11,35  -  39,M,CHINESE,235
2020-11,35  -  39,F,INDIANS,36
2020-11,35  -  39,M,INDIANS,28
2020-11,35  -  39,F,MALAYS,47
2020-11,35  -  39,M,MALAYS,50
2020-11,35  -  39,F,OTHERS,58
2020-11,35  -  39,M,OTHERS,51
2020-11,40  -  44,F,CHINESE,44
2020-11,40  -  44,M,CHINESE,34
2020-11,40  -  44,F,INDIANS,4
2020-11,40  -  44,M,INDIANS,7
2020-11,40  -  44,F,MALAYS,8
2020-11,40  -  44,M,MALAYS,8
2020-11,40  -  44,F,OTHERS,15
2020-11,40  -  44,M,OTHERS,12
2020-11,45  -  49,M,CHINESE,4
2020-11,45  -  49,M,MALAYS,1
2020-11,45  -  49,F,OTHERS,3
2020-11,Under 15,M,MALAYS,1
2020-12,15  -  19,F,CHINESE,5
2020-12,15  -  19,M,CHINESE,7
2020-12,15  -  19,M,INDIANS,1
2020-12,15  -  19,F,MALAYS,1
2020-12,15  -  19,M,MALAYS,1
2020-12,20  -  24,F,CHINESE,18
